,№,NAME,WORTH,SOURCE
0,1,Elon Musk,$790B,"Tesla, SpaceX"
1,2,Larry Page,$314B,Google
2,3,Sergey Brin,$290B,Google
3,4,Jeff Bezos,$275B,Amazon
4,5,Larry Ellison,$217B,Oracle
5,6,Mark Zuckerberg,$209B,Facebook
6,7,Michael Dell,$178B,Dell Tech
7,8,Jensen Huang,$172B,Nvidia
8,9,Rob Walton,$149B,Walmart
9,10,Jim Walton,$147B,Walmart
10,11,Bernard Arnault,$143B,LVMH
11,12,Warren Buffett,$140B,Berkshire Hathaway
12,13,Alice Walton,$137B,Walmart
13,14,Amancio Ortega,$134B,Zara
14,15,Steve Ballmer,$132B,Microsoft
15,16,Carlos Slim Helu,$123B,Telecom
16,17,Changpeng Zhao,$110B,Binance
17,18,Michael Bloomberg,$109B,Bloomberg LP
18,19,Bill Gates,$103B,Microsoft
19,20,Mukesh Ambani,$98B,Diversified
20,21,Francoise Bettencourt Meyers,$93B,L’Oréal
21,22,Thomas Peterffy,$93B,Discount brokerage
22,23,Giancarlo Devasini,$89B,"Tether, Bitfinex"
23,24,Julia Koch,$81B,Koch Industries
24,25,Gautam Adani,$78B,Infrastructure
25,26,Charles Koch,$74B,Koch Industries
26,27,Zhang Yiming,$69B,TikTok
27,28,Robin Zeng,$68B,Batteries
28,29,Jeff Yass,$67B,Trading
29,30,Zhong Shanshan,$67B,Beverages
30,31,Masayoshi Son,$66B,"Telecom, Investments"
31,32,Tadashi Yanai,$64B,Fashion
32,33,Dieter Schwarz,$60B,Retail
33,34,Germán Larrea Mota Velasco,$59B,Mining
34,35,Ken Griffin,$50B,Hedge funds
35,36,Lukas Walton,$50B,Walmart
36,37,Ma Huateng,$49B,Online games
37,38,Li Ka-shing,$49B,Diversified
38,39,Giovanni Ferrero,$48B,Nutella
39,40,John Mars,$47B,"Candy, Pet food"
40,41,Jacqueline Mars,$47B,"Candy, Pet food"
41,42,Iris Fontbona,$46B,"Mining, beverages"
42,43,Mark Mateschitz,$45B,Red Bull
43,44,Rafaela Aponte-Diamant,$44B,Shipping
44,45,Andrea Pignataro,$42B,Financial software
45,46,Klaus-Michael Kuehne,$40B,Infrastructure
46,47,Thomas Frist,$40B,Hospitals
47,48,Idan Ofer,$40B,Shipping
48,49,Alain Wertheimer,$39B,Chanel
49,50,Gerard Wertheimer,$39B,Chanel
50,2025,"3,030",$16.1T,
51,2024,"2,781",$14.2T,
52,2023,"2,640",$12.2T,
53,2022,"2,668",$12.7T,
54,2021,"2,755",$13.1T,
55,2020,"2,095",$8.0T,
56,2019,"2,153",$8.7T,
57,2018,"2,208",$9.1T,
58,2017,"2,043",$7.7T,
59,2016,"1,810",$6.5T,
60,2015,"1,826",$7.1T,
61,2014,"1,645",$6.4T,
62,2013,"1,426",$5.4T,
63,2012,"1,226",$4.6T,
64,2011,"1,210",$4.5T,
65,2010,"1,011",$3.6T,
66,2009,793,$2.4T,
67,2008,"1,125",$4.4T,
68,2007,946,$3.5T,
69,2006,793,$2.6T,
70,2005,691,$2.2T,
71,2004,587,$1.9T,
72,2003,476,$1.4T,
73,2002,497,$1.5T,
74,2001,538,$1.8T,
75,2000,470,$0.9T,
76,№,NAME,WORTH,SOURCE
77,1,Elon Musk,$790B,"Tesla, SpaceX"
78,2,Larry Page,$314B,Google
79,3,Sergey Brin,$290B,Google
80,4,Jeff Bezos,$275B,Amazon
81,5,Larry Ellison,$217B,Oracle
82,6,Mark Zuckerberg,$209B,Facebook
83,7,Michael Dell,$178B,Dell Tech
84,8,Jensen Huang,$172B,Nvidia
85,9,Rob Walton,$149B,Walmart
86,10,Jim Walton,$147B,Walmart
